,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S01000045,569,8,6,7,5,5,9,3,6,6,9,7,4,3,5,3,3,5,7,3,9,4,10,4,9,3,0,3,2,3,4,4,3,5,9,8,7,6,10,9,10,9,7,3,6,8,10,12,9,9,9,6,12,11,11,4,9,9,13,8,5,4,8,10,6,11,9,11,7,1,6,3,4,6,12,5,4,9,11,9,7,6,6,4,6,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
S01000046,754,8,5,11,4,7,7,8,3,6,10,7,8,11,8,5,8,4,8,11,4,4,4,3,6,7,8,5,3,5,3,2,7,9,7,5,9,8,6,10,11,14,15,12,2,5,8,17,17,14,9,16,10,15,10,10,13,6,10,10,7,12,9,12,17,7,11,8,10,17,12,6,12,13,15,8,12,5,10,9,13,6,11,4,5,2,4,3,4,3,4,2,0,1,0,0,1,0,0,1,0,0
S01000047,807,6,4,6,7,9,3,4,2,2,2,0,3,3,2,2,1,3,3,2,14,22,15,24,21,24,22,27,23,12,18,21,11,19,12,12,10,11,14,15,15,4,16,12,4,7,5,9,9,7,7,10,9,10,10,13,12,3,12,8,11,7,9,6,13,9,2,5,7,3,6,10,12,7,1,3,9,6,13,10,6,9,7,8,4,5,6,3,4,2,3,4,3,0,1,0,0,0,0,0,0,0
S01000048,960,14,17,11,12,8,8,5,9,6,8,6,8,9,6,7,1,6,10,6,13,12,9,7,14,8,9,19,19,10,16,10,12,26,12,13,22,22,14,17,13,13,12,10,6,18,12,22,16,12,11,16,15,18,13,9,14,9,17,21,13,11,8,15,13,12,5,1,9,11,8,11,3,5,8,7,2,8,8,4,10,4,12,8,8,6,11,3,6,3,0,2,5,1,1,0,0,0,0,0,0,0
S01000049,747,11,10,4,12,9,7,6,4,7,6,6,10,6,8,7,8,7,8,4,7,6,7,3,8,4,7,6,4,2,12,4,8,10,9,8,9,9,10,14,8,12,12,10,8,17,7,11,9,6,9,7,10,16,13,14,13,14,7,9,9,9,10,10,19,10,7,9,7,6,7,9,9,10,5,7,8,6,12,10,6,6,5,2,8,1,5,6,4,3,8,5,0,1,3,1,0,1,2,0,0,2
S01000050,744,7,7,7,7,10,11,8,4,5,4,7,6,1,5,3,8,10,4,5,17,13,5,7,8,3,7,10,5,4,5,10,12,10,7,12,4,9,14,9,16,6,4,11,12,13,9,12,14,9,13,7,11,12,11,9,4,7,8,14,3,15,2,5,13,9,4,8,7,10,10,12,11,5,7,6,4,4,13,4,6,11,3,8,11,5,6,10,2,6,7,9,1,2,1,5,2,0,2,0,0,3
S01000051,797,6,11,9,7,8,11,8,7,6,5,4,8,7,3,8,11,7,6,3,8,3,10,7,5,5,3,1,5,5,7,3,6,10,7,7,12,4,12,10,10,16,13,8,13,13,10,10,21,8,12,14,16,11,11,9,14,10,7,5,14,9,12,7,9,13,10,11,10,8,11,6,5,11,4,9,11,8,11,9,10,14,17,19,9,8,10,9,2,7,2,1,2,2,0,1,0,0,0,0,0,0
S01000052,627,3,11,8,15,8,5,7,8,11,7,7,8,10,10,8,12,6,13,15,13,11,3,6,8,8,7,8,12,6,5,7,5,3,6,4,7,1,4,5,4,12,8,12,9,8,10,6,14,12,15,15,9,11,12,8,8,7,12,8,6,8,11,10,7,8,3,5,4,5,7,1,5,6,5,5,5,5,5,5,3,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
S01000053,1100,10,4,5,8,12,8,7,7,9,5,5,6,6,12,9,9,6,5,9,10,20,9,21,22,13,15,18,25,19,14,20,20,29,21,28,18,15,13,20,16,16,20,13,10,12,11,11,23,20,12,10,18,8,14,13,15,12,11,6,11,4,11,8,12,12,9,4,2,3,9,7,15,10,10,10,6,14,12,10,17,14,16,11,11,10,11,9,5,8,4,6,3,3,4,0,3,0,1,2,0,0
S01000054,801,15,16,9,9,7,8,6,6,5,5,8,5,8,5,3,6,4,7,6,2,6,6,5,6,6,5,4,9,8,13,9,6,8,8,12,18,10,8,17,13,17,11,7,4,14,11,11,11,7,9,12,8,13,7,9,6,7,14,12,5,13,3,15,8,7,4,5,5,9,10,8,10,5,12,8,15,8,6,13,7,9,11,16,11,11,13,5,14,7,2,2,5,4,1,2,2,1,1,0,1,0
S01000055,803,8,12,12,13,12,13,8,2,4,20,6,11,5,9,8,10,9,13,11,11,17,9,15,16,14,13,14,16,4,12,6,12,6,14,13,10,8,10,5,15,9,7,8,11,7,12,10,17,12,15,16,11,8,7,16,7,4,6,9,5,13,4,12,9,10,4,4,5,6,8,8,3,2,5,5,3,3,2,4,4,6,6,5,3,2,6,2,6,2,7,4,6,1,4,0,2,2,0,0,0,2
S01000056,1014,2,11,12,14,11,11,11,15,13,5,16,20,12,22,18,13,16,18,13,9,11,4,9,10,5,9,7,3,3,3,2,6,10,10,8,7,15,8,11,10,8,7,24,17,14,12,22,18,21,25,16,24,14,19,23,18,12,10,19,19,24,19,14,9,14,13,7,13,16,11,7,10,3,8,10,8,7,4,6,4,8,9,6,4,8,5,3,1,1,5,1,0,0,0,0,1,0,0,0,0,0
