URN,EstablishmentName,SchoolCapacity,Postcode,Easting,Northing,,,,,,,,,,,,,,,
143772,Harper Green School,1400,BL4 0DH,372778,406062,,,,,,,,,,,,,,,
137612,Range High School,1229,L37 2YN,328468,405883,,,,,,,,,,,,,,,
137472,Don Valley Academy,1499,DN5 9DD,454962,405823,,,,,,,,,,,,,,,
143319,Middleton Technology School,1140,M24 2GT,388141,405686,,,,,,,,,,,,,,,
137133,The Blue Coat CofE School,1550,OL1 3SQ,392979,405494,,,,,,,,,,,,,,,
144046,St James's Church of England High School,1050,BL4 9RU,372403,405494,,,,,,,,,,,,,,,
137200,Humberston Academy,753,DN36 4TF,530636,405405,,,,,,,,,,,,,,,
138314,Armthorpe Academy,1040,DN3 2DA,462410,405237,,,,,,,,,,,,,,,
137603,Ridgewood School,1512,DN5 7UB,454286,404965,,,,,,,,,,,,,,,
136268,Tollbar Academy,2355,DN36 4RZ,527370,404421,,,,,,,,,,,,,,,
146501,The Dearne Academy,1200,S63 9EW,446151,403807,,,,,,,,,,,,,,,
137742,South Axholme Academy,1165,DN9 1BY,477897,403755,,,,,,,,,,,,,,,
137842,Hall Cross Academy,2000,DN1 2HY,458142,403254,,,,,,,,,,,,,,,
138110,Hawkley Hall High School,987,WN3 5NY,357952,403148,,,,,,,,,,,,,,,
137039,The Hathershaw College,1050,OL8 3EP,392680,402873,,,,,,,,,,,,,,,
137533,Deyes High School,1426,L31 6DE,337737,402355,,,,,,,,,,,,,,,
136987,Co-op Academy Swinton,1075,M27 6JU,377525,402270,,,,,,,,,,,,,,,
137309,The King David High School,800,M8 5DY,383831,402178,,,,,,,,,,,,,,,
137448,Fred Longworth High School,1275,M29 8JN,368403,402022,,,,,,,,,,,,,,,
146404,Co-op Academy Walkden,1500,M28 7JB,374536,401987,,,,,,,,,,,,,,,
140865,The McAuley Catholic High School,1730,DN3 3QF,462444,401691,,,,,,,,,,,,,,,
144327,Rainford High Technology College,1650,WA11 8NY,348163,401576,,,,,,,,,,,,,,,
137520,Maghull High School,1349,L31 7AW,337055,401489,,,,,,,,,,,,,,,
136958,Caistor Yarborough Academy,580,LN7 6QZ,512180,401423,,,,,,,,,,,,,,,
138698,Beis Yaakov High School,275,M7 4FF,382739,401413,,,,,,,,,,,,,,,
136350,Caistor Grammar School,649,LN7 6QJ,511527,401298,,,,,,,,,,,,,,,
144199,Moorside High School,1060,M27 0BH,376843,401111,,,,,,,,,,,,,,,
136672,The Hayfield School,1098,DN9 3HG,464839,399968,,,,,,,,,,,,,,,
137514,Chesterfield High School,1326,L23 9YB,333448,399885,,,,,,,,,,,,,,,
143059,Buile Hill Academy,900,M6 8RD,379905,399655,,,,,,,,,,,,,,,
144200,Ellesmere Park High School,750,M30 9BP,377922,399605,,,,,,,,,,,,,,,
139294,Copley Academy,900,SK15 3RR,397554,398878,,,,,,,,,,,,,,,
137020,West Hill School,850,SK15 1LX,395729,398869,,,,,,,,,,,,,,,
137832,Huntcliff School,870,DN21 4NN,494101,398735,,,,,,,,,,,,,,,
138699,The Byrchall High School,1175,WN4 9PQ,357580,398486,,,,,,,,,,,,,,,
145274,Stocksbridge High School,920,S36 1FD,426882,397973,,,,,,,,,,,,,,,
136593,Fairfield High School for Girls,975,M43 6AB,390054,397609,,,,,,,,,,,,,,,
139735,All Saints Catholic College,1000,SK16 5AP,395032,397247,,,,,,,,,,,,,,,
136273,Audenshaw School,1050,M34 5NB,392190,396667,,,,,,,,,,,,,,,
146239,Wright Robinson College,1800,M18 8RL,389961,396652,,,,,,,,,,,,,,,
137801,Trinity CofE High School,1500,M15 6HP,384235,396576,,,,,,,,,,,,,,,
144579,Longdendale High School,900,SK14 8LW,400182,396341,,,,,,,,,,,,,,,
136297,Urmston Grammar Academy,1000,M41 5UG,376120,394926,,,,,,,,,,,,,,,
139992,Wingfield Academy,845,S61 4AU,441080,394853,,,,,,,,,,,,,,,
136965,Flixton Girls School,960,M41 5DR,375452,394833,,,,,,,,,,,,,,,
136378,Wellacre Technology Academy,1443,M41 6AP,373863,394527,,,,,,,,,,,,,,,
141264,Whalley Range 11-18 High School,1650,M16 8GW,383690,394025,,,,,,,,,,,,,,,
139148,Chorlton High School,1500,M21 7SL,382528,393334,,,,,,,,,,,,,,,
141853,Winterhill School,1300,S61 2BD,440095,393245,,,,,,,,,,,,,,,
142798,The Prescot School,1050,L34 3NB,346181,393037,,,,,,,,,,,,,,,
138696,West Derby School,1073,L13 7HQ,338741,392465,,,,,,,,,,,,,,,
136735,St Edward's College,1028,L12 1LF,339608,392388,,,,,,,,,,,,,,,
140703,Burnage Academy for Boys,1086,M19 1ER,386452,392362,,,,,,,,,,,,,,,
136895,The Oldershaw Academy,990,CH45 4RJ,330307,392270,,,,,,,,,,,,,,,
138329,St Bernard's Catholic High School,700,S65 3BE,445058,392116,,,,,,,,,,,,,,,
140646,Wickersley School and Sports College,1923,S66 1JL,448329,391919,,,,,,,,,,,,,,,
138123,Ashton-on-Mersey School,1561,M33 5BP,377546,391455,,,,,,,,,,,,,,,
137815,Weatherhead High School,1669,CH44 3HS,329817,391359,,,,,,,,,,,,,,,
136498,Sale Grammar School,1341,M33 3NH,379160,391303,,,,,,,,,,,,,,,
140459,Oakwood High School,1050,S60 2UH,443584,391259,,,,,,,,,,,,,,,
139840,Birchwood Community High School,1050,WA3 7PT,364905,391237,,,,,,,,,,,,,,,
138124,Broadoak School,792,M31 4BU,371534,390813,,,,,,,,,,,,,,,
144326,Rainhill High School,1550,L35 6NY,349990,390763,,,,,,,,,,,,,,,
138925,Fir Vale School,1050,S4 8GB,436817,390122,,,,,,,,,,,,,,,
143260,Parrs Wood High School,1854,M20 5PG,385464,390094,,,,,,,,,,,,,,,
136301,Brinsworth Academy,1487,S60 5EJ,441455,389760,,,,,,,,,,,,,,,
139152,Great Sankey High School,1936,WA5 3AA,356152,389463,,,,,,,,,,,,,,,
137916,The Blue Coat School,1300,L15 9EE,339177,388853,,,,,,,,,,,,,,,
136491,De Aston School,1282,LN8 3RF,511471,388708,,,,,,,,,,,,,,,
136780,St Anselm's College,1026,CH43 1UQ,330342,388639,,,,,,,,,,,,,,,
136377,Wellington School,1350,WA15 7RH,377819,388634,,,,,,,,,,,,,,,
137929,Upton Hall School FCJ,1000,CH49 6LJ,326935,388189,,,,,,,,,,,,,,,
138183,Bellerive FCJ Catholic College,900,L17 3AA,337076,388150,,,,,,,,,,,,,,,
138464,Loreto Grammar School,1040,WA14 4AH,376337,387995,,,,,,,,,,,,,,,
142509,The Kingsway School,1670,SK8 4QX,385024,387817,,,,,,,,,,,,,,,
138463,St Francis Xavier's College,1302,L25 6EG,341544,387674,,,,,,,,,,,,,,,
